ans_str,query_str,idx_of_ans,idx_of_qns
"Persons who have completed their primary vaccination series and received a WHO EUL vaccine at least 90 days from their last dose of a complete primary vaccination series would be considered boosted, and will retain their fully vaccinated status.&nbsp;","I had departed from the National Vaccination Programme recommendations* & taken WHO EUL vaccines for my booster. Am I considered fully vaccinated?",863,868
"Holders of the following types of certificates may be exempted from serology testing for their vaccinations to be recognised:  EU Digital COVID Certificate (EU DCC), including formats cross-compatible with the EU DCC system such as the UK’s NHS Covid Pass [Australia] International COVID-19 Vaccination Certificate [India] Co-WIN International Travel Certificate [Malaysia] Digital Certificate for COVID-19 Vaccination from MySejahtera app [Maldives] COVID-19 Digital Certification from the Health Protection Agency Maldives [Republic of Korea] COVID-19 Vaccination Certificate issued by the Korea Disease Control and Prevention Agency [Thailand] International COVID-19 Vaccination Certificate issued by the Department of Disease Control, Ministry of Public Health Thailand","Which digitally verifiable vaccination certificates are exempted from serology testing?",887,892
"There are no additional safety concerns with taking the booster vaccination if you had unknowingly recovered from a past infection. There is no evidence that the vaccination of recovered persons causes over-stimulation, autoimmune disorders or other safety concerns.","Are there any safety concerns if I had unknowingly recovered from COVID-19, and subsequently take the booster dose?",853,858
"Individuals who are vaccinated in Singapore or vaccinated overseas with WHO EUL vaccines and had their vaccination records ingested in the National Immunisation Registry (NIR) will be able to see their vaccination records on HealthHub application or NIR at www.nir.hpb.gov.sg/nirp/eservices/login . Individuals who are not HealthHub users are encouraged to keep the physical vaccination card issued by the vaccination providers for your own safekeeping.","Where can I see my vaccination records?",865,870
"Yes. You may visit a healthcare provider for your serology test to ingest your records into the NIR. If you received a dose of a non-inactivated virus vaccine (i.e. vaccines except Sinovac, Sinopharm, and Covaxin), you will need to take an anti-N serology test to confirm your past infection in addition to an anti-S serology test to confirm your vaccination. If you received a dose of an inactivated virus vaccine, an anti-N serology test would be unable to ascertain your past infection. You should provide documentary evidence of your past infection to the doctor (e.g. PCR test result, recovery memo).","I previously contracted COVID-19. Following my country’s guidelines, I got vaccinated with only one dose of a WHO EUL vaccine. Am I fully-vaccinated?",856,861
"If you are aged 18 years and older, your booster dose can be of either brand of the mRNA vaccines offered under the National Vaccination Programme. Persons aged between 12 to 17 years old are currently only eligible to receive the Pfizer-BioNTech/Cominarty vaccine for the booster dose.","Does my booster dose have to be of the same brand as my first 2 doses?",848,853
"You may have been granted a temporary “Vaccinated” status on arrival in Singapore. After this temporary status expires and you have ingested your overseas vaccination records in the NIR, your vaccination status may change according to local rules: You will be regarded as fully vaccinated for 4 months after the second dose, or until 31 December 2021, whichever is later.","I am a traveller who had received 2 doses of the Sinovac-CoronaVac or Sinopharm vaccine overseas. What will my vaccination status be?",866,871
"The Sinovac vaccine is only available as a booster dose for those who are medically ineligible for the mRNA vaccines. If you developed allergies after your second mRNA dose, visit your doctor to obtain certification of your medical ineligibility for mRNA vaccines and bring this documentation to the vaccination centre before taking the Sinovac vaccine as a booster.","Can I take Sinovac as my booster, after 2 mRNA doses?",895,900
"You should proceed to complete your vaccination. There is no official record of your infection, and it is safe for you to receive two doses of mRNA vaccines for the primary vaccination series, and one dose of the mRNA vaccine as a booster.&nbsp; If you are not medically eligible for the mRNA vaccines, you should complete your vaccination using alternative vaccines (e.g. Sinovac). If you are due for your vaccination based on the schedules recommended in the national vaccination programme (e.g. to receive a booster dose about 5 months after two doses of mRNA vaccines), you may receive your next vaccine dose 28 days after infection, although you are recommended to do so three months from the infection for better effectiveness.&nbsp;","I tested positive on self-administered ART and have yet to complete my COVID-19 primary vaccination series. When can I take my next dose?",900,905
"If you have received your second mRNA dose more than 150 days ago, you are eligible to walk in to any vaccination centre to receive your booster dose.","I have not received my SMS to take the mRNA booster (third dose). What should I do?",894,899
"If your vaccination status is reflected as 'Not Vaccinated' or 'In Progress' or 'Waiting to take effect', it may be due to the following reasons:  You have not completed all doses of the vaccination. The interval between your vaccination doses is outside of the recommended minimal interval for the vaccine. Please refer to www.vaccine.gov.sg for more information on the recommended interval between doses. It has been less than 14 days since you received the final dose of the vaccine. The vaccine will only fully take effect 14 days after your last dose. For avoidance of doubt, Day 0 is taken as the day of the final dose of the vaccination and Day 14 is taken as the day the vaccination is effective.  To check if your vaccination status is accurately reflected, please visit https://go.gov.sg/vds-query-form.&nbsp;","I have been vaccinated locally. Why is my status still reflected as 'Not Vaccinated' or 'In progress' or 'Waiting to take effect'?",867,872
"Most clinics will be able to provide serology testing to confirm whether the individual has undergone the vaccinations. phpc.gov.sg  provides the list of some clinics’ addresses and contact details (not exhaustive)*. Please call in advance to check that the clinic is able to support serology testing for persons vaccinated overseas and update their record on the National Immunisation Registry. * The polyclinics do not provide serology testing for verification of overseas vaccination.","Which are the healthcare providers that can provide serology testing for verification of vaccinations?",857,862
"The serology test requirement would apply across board to those who have received either partial or complete COVID-19 vaccination overseas, including booster shots.","Will serology testing be required for those who have received partial or complete COVID-19 vaccination overseas?",861,866
"It may be due to the following reasons:  You have not completed all doses of the vaccination. The interval between your vaccination doses is outside of the recommended minimal interval for the vaccine. The result of your serology test conducted in the local private clinics providing the service is negative. The local private clinic providing the service is waiting for your serology test result. Your local serology result is positive, and pending submission of your vaccination data into NIR by your medical provider. Once submitted, it should be reflected as “Vaccinated” within 24 hours. You have taken an additional dose in Singapore and it has been less than 14 days since you received it. The vaccine will only fully take effect 14 days after your additional dose. For avoidance of doubt, Day 0 is taken as the day of the final dose of the vaccination and Day 14 is taken as the day the vaccination is effective.  Alternatively, you may visit https://go.gov.sg/vds-query-form to check if your  vaccination s tatus is accurately reflected.","I have been partially/completely vaccinated overseas. Why is my status still showing “not vaccinated”?",868,873
"The charges will be determined by the private healthcare providers providing the service. Please contact the clinics directly about the charges.","What will the charges for serology testing be?",858,863
"The dosages for booster vaccination by vaccine types are:  50 mcg for the Moderna/Spikevax vaccine 30 mcg for the Pfizer-BioNTech/Comirnaty vaccine  The booster dosage of the Moderna/Spikevax vaccine is less than the 100 mcg used for the first two doses. This is because data has shown that a 50 mcg dose effectively boosts the immune protection against COVID-19. If you have received a 100 mcg dose for your booster vaccination, there are no safety concerns in having done so. The booster dosage of the Pfizer-BioNTech/Comirnaty vaccine is the same as that used for the first two doses.","What is the dosage used for booster vaccination?",854,859
"The serology test is an additional means, on top of vaccination documentation, to confirm that a person has undergone effective vaccination.","Why is serology testing required before overseas COVID-19 vaccination records of SCs/PRs/LTPHs can be accepted into Singapore’s IT systems?",859,864
"You will be given a grace period of two months to receive the booster dose. During this period, the fully vaccinated status would be maintained.","I am turning 12 years old soon and would need to receive the booster dose soon*. Is there a grace period for me to receive the booster dose?",864,869
"Local and international data show reduced vaccine protection against COVID-19 infection from around six months after completion of the last vaccine dose in the primary vaccination series or earlier. The level of protection drops even further over time. There is also some reduction in protection against severe disease, particularly in older persons. In addition, international studies have shown that the protection against Omicron variant infection by a primary vaccination series is weaker compared to previous variants, and that boosters increase the protection against infection and severe illnesses caused by Omicron. As such, booster vaccination is crucial to ensure continued protection against COVID-19.","Why is there a need for a booster dose?",845,850
"A negative serology result implies that the individual’s overseas vaccination was not effective and may not protect from COVID-19 infection. You may wish to re-take your vaccination in Singapore if you are eligible. More details can be found at https://vaccine.gov.sg  or the MOH COVID-19 hotline at 1800-333-9999.","What should an individual do if he/she receives a negative serology test result?",862,867
"If a household member has tested positive for COVID-19, he/she will be asked to nominate you and your household members as close contacts. You and your household members will receive a Health Risk Notice (HRN) via SMS. Click here  to find out what to do when you are on HRN.","I live with somebody who has tested positive for COVID-19, what should I do?",399,404
"While you will not be issued a Health Risk Notice (HRN), we advise that you take the following precautions: 1. Minimise contact with the person who had tested ART positive. 2. Take an ART self-test within 24 hours of your last contact with the person. 3. Should you need to leave your home over the next 5 days, e.g. for work or to school, take an ART self-test on the same day:  If negative: you may leave your home. If positive: follow the instructions for Protocol 2.","A member of my household, or a colleague whom I had close contact with at work, tested positive on the Antigen Rapid Test (ART). What should I do?",504,509
"Should you need to leave your place of residence you should only do so when you self-test ART negative.&nbsp; If at any time you test positive, follow the instructions for Protocol 2 . Click here  to find out what you need to do when you receive a HRN SMS","I received a Health Risk Notice (HRN) via SMS. Can I go out to buy food, see a doctor, or go to work or school?",438,443
"If a member of your household is on Home Recovery , they will need to register you and your household members as close contacts. You and your household members will receive a Health Risk Notice (HRN). Click here  to find out what you need to do when you are placed on HRN.","A household member of mine is undergoing Home Recovery. What do I need to do?",450,455
"MOH conducts contact tracing to identify people who have been in contact with the confirmed case.&nbsp; A close contact is defined as someone who has spent 15 minutes or more within 2 metres of the infected individual.&nbsp; Besides the duration and proximity of exposure, MOH also considers the nature and setting of exposure, type of personal protective equipment donned, and other clinical and epidemiological factors when assessing if follow up actions are required for the close contacts. Identified close contacts will be advised by MOH officials on the measures they should take.","How does MOH determine if someone is a close contact of a confirmed case?",468,473
"You should take an Antigen Rapid Test (ART) self-test as soon as you receive the Health Risk Notice (HRN) SMS. For Residents: If you do not have any ART kits, you can collect ART kits from vending machines at venues listed here . For Non-Residents: You may purchase ART kits from local retail pharmacies. If you are staying in a hotel, you may wish to approach the hotel concierge for assistance. Should you need to leave your place of accommodation over the next 5 days, take an ART self-test on the same day: You will need to test negative before you can leave. On Day 5, take a final ART self-test: If you test negative, you can resume normal activities. No further tests are needed. If at any time you test positive, follow the instructions for Protocol 2 . Click here for more info on what you need to do when you receive a HRN SMS.","I received a Health Risk Notice (HRN) SMS. What should I do?",397,402
"Although you have been to an affected area, you may not be at risk of infection as you might not have been at the affected area at the same time as the COVID-19 case(s). Nonetheless, you may self-monitor your health for 5 days from your last visit to the affected location.","I've been to an affected area, but didn't receive a Health Risk Notice (HRN) notification. Should I be concerned?",388,393
"If you are placed on Health Risk Notice (HRN), you will receive an SMS on the mobile number registered to your TraceTogether App or Token. The SMS notification should indicate your full name and the last 4 digits of your identification number. You may also call 63805072 to verify the SMS notification. Please note that MOH will not ask for your financial details when conducting contact tracing nor divulge any details of confirmed cases. MOH will also not ask you to collect documents from MOH, unless you have existing business with MOH.","How can I tell if the Health Risk Notice (HRN) I received is not a scam?",389,394
"For Residents: You are allowed to leave home to collect one pack of 3 Antigen Rapid Test (ART) kits from the vending machines. However, you should minimise social contact during the collection.For Non-Residents: You may purchase ART kits from local retail pharmacies. If you are staying in a hotel, you may wish to approach the hotel concierge for assistance.","Can I collect/purchase ART kits when I am under Health Risk Notice (HRN)?",491,496
"Only children aged 2 and above – who are close contacts / household contacts of COVID-19 cases – will be issued Health Risk Notices (HRNs) via SMS. The SMSes will be sent to the phone number based on their personal data linked to the TraceTogether (TT) app/token. Parents can contact support@tracetogether.gov.sg to update the details linked to their child’s TT to ensure the health notifications are delivered to the relevant recipient.&nbsp;&nbsp; Children under the age of 2 will not be issued HRNs. For children under the age of 2 – who are close contacts / household contacts of COVID-19 cases –parents are advised to: 1.	Minimise their children’s social interactions out of the home 2.	Monitor if their children display any symptoms of COVID-19 and to seek medical care if they become symptomatic 3.	Inform their children’s preschool, and to check with them on their regulations for returning to school. To minimise the risk of transmission in preschools, children who are close contacts / household contacts of COVID-19 cases will need to produce a negative ART for each day that they return to preschool for a specified period, as advised by the preschool.&nbsp; This would be for five days. Click here  for more info on HRN. Children who have recovered from COVID-19 within the past 90 days will be exempted from HRN, regardless of their vaccination status. Parents/children who receive a HRN SMS and have recently recovered, should therefore disregard the HRN. The following two brands of ART may be administered by parents/ caregivers on children under 2 years old:  Abbott Panbio COVID-19 Antigen Self-Test Acon Biotech Flowflex SARS-CoV-2 Antigen Rapid Test (Self-Testing)","If my child is a close contact of a COVID-19 case, will he or she be issued a Health Risk Notice (HRN)?",505,510
"You are allowed to return to work as long as you test ART negative each day before you leave your place of residence for work. If at any time you test positive, follow the instructions for Protocol 2. Click here  for more info on what you should do when you are issued a HRN.","I have received a Health Risk Notice (HRN). Am I allowed to return to work?",506,511
"Here are some possible reasons why you may not have received a Health Risk Notice (HRN) SMS, even though you were registered as a household contact of a confirmed COVID-19 case: 1. Your details (e.g. NRIC, mobile number) may have been submitted incorrectly If you suspect this might be so, you may submit the form again at the same link. While waiting for the SMS, you are advised to exercise social responsibility and minimise social interactions. If you need to leave your home, take an Antigen Rapid Test (ART) self-test and test negative before leaving.  If positive: follow the instructions for Protocol 2 .  2. Your last date of contact with the confirmed case was more than 5 days ago In this situation, you are advised to monitor your health over the next few days. At any time you feel unwell, e.g. fever, cough, sore throat, see a doctor.&nbsp; If you are well, but are still worried, take an ART self-test.  If positive: follow the instructions for Protocol 2 .  3. You have recovered from COVID-19 within the past 90 days.","I was registered as a household contact of a confirmed case, but have not received a Health Risk Notice (HRN) even after 48 hours. What should I do?",515,520
"Should you need to leave your place of residence you should only do so when you self-test ART negative.&nbsp; If at any time you test positive, follow the instructions for Protocol 2.&nbsp; Click here  to find out what you need to do when you receive a HRN SMS.","I received a Health Risk Notice (HRN) via SMS, but I have a COVID-19 vaccination appointment soon. Can I still go for it?",440,445
"For Residents: You can collect the ART kits from vending machines these location.&nbsp; Please bring along your Singapore-issued identification document, e.g. NRIC/FIN, student pass, birth certificate with a barcode. If a household member is collecting on your behalf, please ask them to bring along your identification document. For Non-Residents: You may purchase ART kits from local retail pharmacies. If you are staying in a hotel, you may wish to approach the hotel concierge for assistance.","I have been placed on Health Risk Notice (HRN). Where can I collect the ART kits from the vending machines? Where can I purchase ART kits?",490,495
"You do not submit your test results. Click here  for more info on what to do when you receive a Health Risk Notice (HRN).","I am on Health Risk Notice (HRN). Where do I submit my Antigen Rapid Test (ART) self-test results?",503,508
"If you are deemed to be a close contact of a confirmed case, you will be contacted by MOH officials and advised on the measures that you should take. Close contacts are identified as those who have provided care for, or have had close physical contact with the infected person. Transient contacts are those who have interacted with the infected person for short periods of time, such as passing by each other in the corridor, or being on the same public transport or in the same public space. The risk of infection in such situations is usually low. Regardless, please monitor your health. Take an Antigen Rapid Test (ART) self-test if you suspect that you may have caught an infection. Click here  for more info on what to do if you are a close contact of a COVID-19 case.","I suspect I've been in the same place as a confirmed Covid case. Should I be worried?",463,468
"If you experience any of these symptoms, call 995  immediately:  Shortness of breath or difficulty breathing Chest pains or pressures on your chest Palpitations (if your heart is beating very fast or pounding) If you have an oximeter, an SpO2 reading that stays below 92% despite multiple readings taken while you are at rest  Click here  for symptoms that do not need emergency help but may need medical attention.","When should I seek emergency help? What symptoms should I look out for?",392,397
"Yes, individuals who have recovered from COVID-19 within the past 90 days will be exempted from HRN, regardless of their vaccination status. If you do receive a HRN SMS within 90 days of your C+ or Ag+ result, you can disregard the HRN.","If I have recovered from COVID-19 recently, am I exempted from HRN?",897,902
"There is no provision for compensation for time away from work as one can leave one’s place of residence for work as long as one has self-tested ART negative.","I received a Health Risk Notice (HRN) via SMS. Can I claim compensation for the time lost at work due to self-isolation?",441,446
"No, there will not be an extension of HRN for the rest of the HH members. However, the remaining household members are advised to continue monitoring their health and to minimize social interaction with members of the public/people outside their household even if these household members test ART negative. For household members under HRN who test ART positive, they should proceed to self-isolate and self-administer an ART after 72 hours.&nbsp; If your HH member who tested ART positive feels unwell or develops symptoms, he is advised to see a doctor. Should the doctor assess that your household member needs to recover at home with an MC, then a new set of HRNs will be issued to all other household members of this newly diagnosed case","If a household member who is under HRN tests positive, will our other household members' HRN duration be extended?",838,843
"You may resume your activities for that day if you test negative on your ART self-test. For the next 4 days, monitor your health and take a self-administered ART before going out each day. If you test negative on Day 5, you may resume regular activities with no further testing. Click here  for more info on what to do when you receive a Health Risk Notice.","I have been placed on Health Risk Notice (HRN). What should I do after I have completed my Antigen Rapid Test (ART) self-test?",494,499
"No. As a recovered person, you will not be required to register for HRN again. However, you are advised to minimise interactions with your household member(s) during his/her recovery.","I was issued an MC to recover at home & have ended my isolation*. My household member who was on HRN turned ART+, do I need to register for HRN again?",839,844
"MOH will identify persons who have been in close contact with suspected or confirmed Omicron-infected cases and they will be placed on the Health Risk Notice (Protocol 3).","What will be done for persons who have been in close contact with an Omicron-infected case?",797,802
"Yes, you will receive an SMS with a link to fill in your household contacts’ details for issuance of Health Risk Notice (HRN). You do not need to provide details of household contacts who have recovered from COVID-19 within the past 90 days, as they would be exempted from HRN due to their recent recovered status. Household contacts who have received HRN SMSes should, monitor their health for the next 5 days and self-test ART negative prior to leaving home. Household members issued HRN will be able to obtain ART kits via vending machines, if required.","If I am a Covid-19 patient and issued a 5-day MC to recover at home, will my household members be placed on Health Risk Notice?",821,826
"Yes, it is your social responsibility to curb the spread of infection by minimising movement in the community and stay at home. Household members are advised to self-administer an ART test and ensure the result is negative before leaving home.","Is it mandatory for Household (HH) members to stay at home before the Health Risk Notices are issued to them?",837,842
"You/your child could have been identified as a close contact  of more than one confirmed case on different days and therefore has received more than one HRN notifications. For your/your child’s safety, please follow the latest HRN notification and its end date.","I/My child has received multiple Health Risk Notice (HRN) notifications within a short period, what should I do?",884,889
"Your child may have received a HRN as he/she has been identified as a close contact  of a confirmed case outside of school. For more information on COVID-19 related matters in schools, please refer to this set of FAQs .","My child was not in school for the past few days, why is he/she receiving a Health Risk Notice (HRN)?",885,890
"You don't need to avoid places where suspected or confirmed cases of COVID-19 have been. There is a low risk of infection from transient contact, e.g. passing by an infected person briefly. You are advised to put on a face mask when in public areas, and adopt good personal hygiene practices, such as washing your hands frequently with soap. NEA has been assisting with support to residents and owners of premises, to ensure that these areas are cleaned and disinfected. Sanitation and hygiene advisories have been issued to premises and facilities with high public access like hotels, commercial buildings and F&amp;B outlets, including hawker centres.&nbsp; Please click here  for guidelines on environmental cleaning and disinfection of COVID-19 in non-healthcare premises and in residences.","My friend sent me a message to avoid a certain location as there has been a suspected case reported. Should I be concerned?",466,471
"Yes, individuals can disregard the HRN SMS if they receive it within 90 days of their self-tested Ag+ result.","If I have self-tested Ag+, can I be exempted from HRN?",898,903
"Travellers may be served Health Risk Notices (HRNs) based on their TraceTogether history, and declared close contacts (e.g. household members, roommates in the case of hotels) of COVID-19 cases. Upon receiving the HRN, travellers should return to their hotel rooms immediately and purchase Antigen Rapid Test (ART) kits preferably through contactless means (e.g. via online stores, delivery apps, or from the hotel) or from pharmacies/drugstores around Singapore. In line with Protocol 3 , they should only leave their hotel rooms if their ART test results are negative.&nbsp;","I’m a traveller in Singapore, can I be served Health Risk Notice (HRNs)? How will I be notified? What do I need to do?",798,803
"Protocol 1: You are unwell  See a doctor. If you test positive for COVID-19: You will either be placed on the Home Recovery Programme (HRP) by default, or if your home environment is not suitable, you can recover at the appropriate care facilities. If you are suitable to recover at home, self-isolate for first 72 hours from your positive test result and take an Antigen Rapid Test (ART).&nbsp; You may exit self-isolation (a) if you test negative on an ART self-administered, or (b) on Day 7 (if fully vaccinated or below 12 years old) or Day 14 (if unvaccinated/partially vaccinated and aged 12 and above) without a need to test, whichever is earlier.  Days are counted starting with the day you first tested positive as Day 1.&nbsp; A recovery memo will be issued to you on Day 7/14 depending on your vaccination status and age.  Protocol 2: You are well but tested positive for COVID-19  Self-isolate at home for at least 72 hours and take an Antigen Rapid Test (ART).&nbsp; You may exit self-isolation (a) if you test negative on an ART self-administered, or (b) on Day 7 (if fully vaccinated or below 12 years old) or Day 14 (if unvaccinated/partially vaccinated and aged 12 and above) without a need to test, whichever is earlier.  Days are counted starting with the day you first tested positive as Day 1. If you become unwell at any time, such as high fever or breathlessness, see a doctor.  Protocol 3: You are identified as a close contact of an infected person  You will be placed on Health Risk Notice (HRN). Test yourself with an Antigen Rapid Test (ART) self-test on the day you receive the HRN SMS. If you test negative: Continue with normal activities for the day. For subsequent days, i.e. Day 2 to 5, you should test ART negative on same day before going out. If you test positive on any of these ART tests, follow Protocol 2 above. On Day 5, you must test yourself with an ART self-test: If the test is negative, you may resume normal activities. There is no need for further tests.","What are the new streamlined protocols with effect from 21 Jan 2022?",495,500
