ans_str,query_str,ans_str_span,idx_of_ans,idx_of_qns
"Fully vaccinated and recently recovered individuals travelling to Singapore can produce their professionally administered ART or PCR test result dated within 7 – 90 days before their trip to Singapore, to be exempted from border measures. Click here  for more details. MOH does not issue separate Recovery Memos (RM) for persons placed on Protocol 2 (no/mild symptoms, low risk). Those who test positive for COVID-19 on a self-administered ART can visit a Combined Test Centre (CTC) or Quick Test Centre (QTC) to undergo a supervised ART and have their results documented – such results of infection as supervised at the CTC/QTCs can be used as proof of recovery for exemption from Singapore’s border measures.&nbsp; All travellers are encouraged to refer to the relevant destination countries’ border measure requirements before committing to their travel plans, as they are ultimately responsible for ensuring that they fulfil the border measure requirements of their destination countries.&nbsp;",what kind of test can be performed by individual who travel to singapore to obtain a copy of their art to be exempted from a border measure? ,professionally administered art or pcr test result dated within 7,0,197
"Fully vaccinated and recently recovered individuals travelling to Singapore can produce their professionally administered ART or PCR test result dated within 7 – 90 days before their trip to Singapore, to be exempted from border measures. Click here  for more details. MOH does not issue separate Recovery Memos (RM) for persons placed on Protocol 2 (no/mild symptoms, low risk). Those who test positive for COVID-19 on a self-administered ART can visit a Combined Test Centre (CTC) or Quick Test Centre (QTC) to undergo a supervised ART and have their results documented – such results of infection as supervised at the CTC/QTCs can be used as proof of recovery for exemption from Singapore’s border measures.&nbsp; All travellers are encouraged to refer to the relevant destination countries’ border measure requirements before committing to their travel plans, as they are ultimately responsible for ensuring that they fulfil the border measure requirements of their destination countries.&nbsp;",what does moh not issue that is required for persons with covid-19?,separate recovery memos,0,198
"Fully vaccinated and recently recovered individuals travelling to Singapore can produce their professionally administered ART or PCR test result dated within 7 – 90 days before their trip to Singapore, to be exempted from border measures. Click here  for more details. MOH does not issue separate Recovery Memos (RM) for persons placed on Protocol 2 (no/mild symptoms, low risk). Those who test positive for COVID-19 on a self-administered ART can visit a Combined Test Centre (CTC) or Quick Test Centre (QTC) to undergo a supervised ART and have their results documented – such results of infection as supervised at the CTC/QTCs can be used as proof of recovery for exemption from Singapore’s border measures.&nbsp; All travellers are encouraged to refer to the relevant destination countries’ border measure requirements before committing to their travel plans, as they are ultimately responsible for ensuring that they fulfil the border measure requirements of their destination countries.&nbsp;",what do residents with self-administered art test their results for?,exempted from border measures,0,199
"Fully vaccinated and recently recovered individuals travelling to Singapore can produce their professionally administered ART or PCR test result dated within 7 – 90 days before their trip to Singapore, to be exempted from border measures. Click here  for more details. MOH does not issue separate Recovery Memos (RM) for persons placed on Protocol 2 (no/mild symptoms, low risk). Those who test positive for COVID-19 on a self-administered ART can visit a Combined Test Centre (CTC) or Quick Test Centre (QTC) to undergo a supervised ART and have their results documented – such results of infection as supervised at the CTC/QTCs can be used as proof of recovery for exemption from Singapore’s border measures.&nbsp; All travellers are encouraged to refer to the relevant destination countries’ border measure requirements before committing to their travel plans, as they are ultimately responsible for ensuring that they fulfil the border measure requirements of their destination countries.&nbsp;",what is not the separate recovery memos for people that are listed on protocol 2?,memories,0,200
"Fully vaccinated and recently recovered individuals travelling to Singapore can produce their professionally administered ART or PCR test result dated within 7 – 90 days before their trip to Singapore, to be exempted from border measures. Click here  for more details. MOH does not issue separate Recovery Memos (RM) for persons placed on Protocol 2 (no/mild symptoms, low risk). Those who test positive for COVID-19 on a self-administered ART can visit a Combined Test Centre (CTC) or Quick Test Centre (QTC) to undergo a supervised ART and have their results documented – such results of infection as supervised at the CTC/QTCs can be used as proof of recovery for exemption from Singapore’s border measures.&nbsp; All travellers are encouraged to refer to the relevant destination countries’ border measure requirements before committing to their travel plans, as they are ultimately responsible for ensuring that they fulfil the border measure requirements of their destination countries.&nbsp;",what is an rm of persons placed on protocol 2?,no/mild symptoms,0,201
"Fully vaccinated and recently recovered individuals travelling to Singapore can produce their professionally administered ART or PCR test result dated within 7 – 90 days before their trip to Singapore, to be exempted from border measures. Click here  for more details. MOH does not issue separate Recovery Memos (RM) for persons placed on Protocol 2 (no/mild symptoms, low risk). Those who test positive for COVID-19 on a self-administered ART can visit a Combined Test Centre (CTC) or Quick Test Centre (QTC) to undergo a supervised ART and have their results documented – such results of infection as supervised at the CTC/QTCs can be used as proof of recovery for exemption from Singapore’s border measures.&nbsp; All travellers are encouraged to refer to the relevant destination countries’ border measure requirements before committing to their travel plans, as they are ultimately responsible for ensuring that they fulfil the border measure requirements of their destination countries.&nbsp;",what can people who seek out extra exposure to singapore's border measures be encouraged to do?,recommend to the relevant destination countriesu2019 border measure requirements before committing to their travel plans,0,202
"Fully vaccinated and recently recovered individuals travelling to Singapore can produce their professionally administered ART or PCR test result dated within 7 – 90 days before their trip to Singapore, to be exempted from border measures. Click here  for more details. MOH does not issue separate Recovery Memos (RM) for persons placed on Protocol 2 (no/mild symptoms, low risk). Those who test positive for COVID-19 on a self-administered ART can visit a Combined Test Centre (CTC) or Quick Test Centre (QTC) to undergo a supervised ART and have their results documented – such results of infection as supervised at the CTC/QTCs can be used as proof of recovery for exemption from Singapore’s border measures.&nbsp; All travellers are encouraged to refer to the relevant destination countries’ border measure requirements before committing to their travel plans, as they are ultimately responsible for ensuring that they fulfil the border measure requirements of their destination countries.&nbsp;",what can fully recovered individuals using singapore produce? ,professionally administered art or pcr test result,0,203
"Fully vaccinated and recently recovered individuals travelling to Singapore can produce their professionally administered ART or PCR test result dated within 7 – 90 days before their trip to Singapore, to be exempted from border measures. Click here  for more details. MOH does not issue separate Recovery Memos (RM) for persons placed on Protocol 2 (no/mild symptoms, low risk). Those who test positive for COVID-19 on a self-administered ART can visit a Combined Test Centre (CTC) or Quick Test Centre (QTC) to undergo a supervised ART and have their results documented – such results of infection as supervised at the CTC/QTCs can be used as proof of recovery for exemption from Singapore’s border measures.&nbsp; All travellers are encouraged to refer to the relevant destination countries’ border measure requirements before committing to their travel plans, as they are ultimately responsible for ensuring that they fulfil the border measure requirements of their destination countries.&nbsp;",what is protocol 2?,"no/mild symptoms, low risk",0,204
"Fully vaccinated and recently recovered individuals travelling to Singapore can produce their professionally administered ART or PCR test result dated within 7 – 90 days before their trip to Singapore, to be exempted from border measures. Click here  for more details. MOH does not issue separate Recovery Memos (RM) for persons placed on Protocol 2 (no/mild symptoms, low risk). Those who test positive for COVID-19 on a self-administered ART can visit a Combined Test Centre (CTC) or Quick Test Centre (QTC) to undergo a supervised ART and have their results documented – such results of infection as supervised at the CTC/QTCs can be used as proof of recovery for exemption from Singapore’s border measures.&nbsp; All travellers are encouraged to refer to the relevant destination countries’ border measure requirements before committing to their travel plans, as they are ultimately responsible for ensuring that they fulfil the border measure requirements of their destination countries.&nbsp;",what do travellers need to do before applying to their travel plans?,requirement about their destination countriesu2019 border measure requirements,0,205
"Fully vaccinated and recently recovered individuals travelling to Singapore can produce their professionally administered ART or PCR test result dated within 7 – 90 days before their trip to Singapore, to be exempted from border measures. Click here  for more details. MOH does not issue separate Recovery Memos (RM) for persons placed on Protocol 2 (no/mild symptoms, low risk). Those who test positive for COVID-19 on a self-administered ART can visit a Combined Test Centre (CTC) or Quick Test Centre (QTC) to undergo a supervised ART and have their results documented – such results of infection as supervised at the CTC/QTCs can be used as proof of recovery for exemption from Singapore’s border measures.&nbsp; All travellers are encouraged to refer to the relevant destination countries’ border measure requirements before committing to their travel plans, as they are ultimately responsible for ensuring that they fulfil the border measure requirements of their destination countries.&nbsp;",which type of art can happen to vaccinated people that travel to singapore?,pcr,0,206
"Individuals who are fully-vaccinated in Singapore may obtain a digital vaccination certificate (‘Vaccination HealthCert’). The requirements to be considered fully-vaccinated can be found at this link . Digital vaccination certificates are not issued for vaccinations done overseas. For Singpass users Singpass users can obtain their Vaccination HealthCerts by logging in to the Notαrise portal using their Singpass app or Singpass credentials. Upon successful application, the digital vaccination certificate will be sent to the user’s email and Singpass app in approximately 15 minutes. Those eligible for a Singpass account can register for a Singpass account here. Users will be able to access the relevant vaccination records the day after creation of your Singpass account. For Long-term Pass holders Long-term Pass holders will need a valid pass to obtain their Vaccination HealthCert using their Singpass app or Singpass credentials. Long-term pass holders are recommended to obtain their Vaccination HealthCert early, as they will lose access to Singpass upon expiry or cancellation of their pass. If your pass was canceled after 22 Feb 2022, you are given a grace period of 3 months after pass cancellation to obtain your Vaccination HealthCert using your Singpass app or Singpass credentials. For people who are not eligible for Singpass People who are not eligible for a Singpass account, or whose pass has expired and no longer have access to Singpass, may obtain their Vaccination HealthCert from Notαrise using their passport number and dates of vaccination recorded in the NIR.&nbsp; If your vaccination records were tagged to your FIN number which you no longer have, you may need to submit a request to associate your records to you passport number at https://go.gov.sg/health-cert-query . Processing time for the query is about 2–4 weeks.",how long is it that time after you was canceled?,2-Feb-22,1,207
"Individuals who are fully-vaccinated in Singapore may obtain a digital vaccination certificate (‘Vaccination HealthCert’). The requirements to be considered fully-vaccinated can be found at this link . Digital vaccination certificates are not issued for vaccinations done overseas. For Singpass users Singpass users can obtain their Vaccination HealthCerts by logging in to the Notαrise portal using their Singpass app or Singpass credentials. Upon successful application, the digital vaccination certificate will be sent to the user’s email and Singpass app in approximately 15 minutes. Those eligible for a Singpass account can register for a Singpass account here. Users will be able to access the relevant vaccination records the day after creation of your Singpass account. For Long-term Pass holders Long-term Pass holders will need a valid pass to obtain their Vaccination HealthCert using their Singpass app or Singpass credentials. Long-term pass holders are recommended to obtain their Vaccination HealthCert early, as they will lose access to Singpass upon expiry or cancellation of their pass. If your pass was canceled after 22 Feb 2022, you are given a grace period of 3 months after pass cancellation to obtain your Vaccination HealthCert using your Singpass app or Singpass credentials. For people who are not eligible for Singpass People who are not eligible for a Singpass account, or whose pass has expired and no longer have access to Singpass, may obtain their Vaccination HealthCert from Notαrise using their passport number and dates of vaccination recorded in the NIR.&nbsp; If your vaccination records were tagged to your FIN number which you no longer have, you may need to submit a request to associate your records to you passport number at https://go.gov.sg/health-cert-query . Processing time for the query is about 2–4 weeks.",what can you get from a singpass login for the singpass app?,digital vaccination certificate,1,208
"Individuals who are fully-vaccinated in Singapore may obtain a digital vaccination certificate (‘Vaccination HealthCert’). The requirements to be considered fully-vaccinated can be found at this link . Digital vaccination certificates are not issued for vaccinations done overseas. For Singpass users Singpass users can obtain their Vaccination HealthCerts by logging in to the Notαrise portal using their Singpass app or Singpass credentials. Upon successful application, the digital vaccination certificate will be sent to the user’s email and Singpass app in approximately 15 minutes. Those eligible for a Singpass account can register for a Singpass account here. Users will be able to access the relevant vaccination records the day after creation of your Singpass account. For Long-term Pass holders Long-term Pass holders will need a valid pass to obtain their Vaccination HealthCert using their Singpass app or Singpass credentials. Long-term pass holders are recommended to obtain their Vaccination HealthCert early, as they will lose access to Singpass upon expiry or cancellation of their pass. If your pass was canceled after 22 Feb 2022, you are given a grace period of 3 months after pass cancellation to obtain your Vaccination HealthCert using your Singpass app or Singpass credentials. For people who are not eligible for Singpass People who are not eligible for a Singpass account, or whose pass has expired and no longer have access to Singpass, may obtain their Vaccination HealthCert from Notαrise using their passport number and dates of vaccination recorded in the NIR.&nbsp; If your vaccination records were tagged to your FIN number which you no longer have, you may need to submit a request to associate your records to you passport number at https://go.gov.sg/health-cert-query . Processing time for the query is about 2–4 weeks.",what is the process of getting an individual's vaccination healthcert?,logging in to the notu014drise portal using their singpass app or singpass credentials,1,209
"Individuals who are fully-vaccinated in Singapore may obtain a digital vaccination certificate (‘Vaccination HealthCert’). The requirements to be considered fully-vaccinated can be found at this link . Digital vaccination certificates are not issued for vaccinations done overseas. For Singpass users Singpass users can obtain their Vaccination HealthCerts by logging in to the Notαrise portal using their Singpass app or Singpass credentials. Upon successful application, the digital vaccination certificate will be sent to the user’s email and Singpass app in approximately 15 minutes. Those eligible for a Singpass account can register for a Singpass account here. Users will be able to access the relevant vaccination records the day after creation of your Singpass account. For Long-term Pass holders Long-term Pass holders will need a valid pass to obtain their Vaccination HealthCert using their Singpass app or Singpass credentials. Long-term pass holders are recommended to obtain their Vaccination HealthCert early, as they will lose access to Singpass upon expiry or cancellation of their pass. If your pass was canceled after 22 Feb 2022, you are given a grace period of 3 months after pass cancellation to obtain your Vaccination HealthCert using your Singpass app or Singpass credentials. For people who are not eligible for Singpass People who are not eligible for a Singpass account, or whose pass has expired and no longer have access to Singpass, may obtain their Vaccination HealthCert from Notαrise using their passport number and dates of vaccination recorded in the NIR.&nbsp; If your vaccination records were tagged to your FIN number which you no longer have, you may need to submit a request to associate your records to you passport number at https://go.gov.sg/health-cert-query . Processing time for the query is about 2–4 weeks.",how can someone obtain their vaccination healthcert?,logging in to the notu014drise portal using their singpass app or singpass credentials,1,210
"Individuals who are fully-vaccinated in Singapore may obtain a digital vaccination certificate (‘Vaccination HealthCert’). The requirements to be considered fully-vaccinated can be found at this link . Digital vaccination certificates are not issued for vaccinations done overseas. For Singpass users Singpass users can obtain their Vaccination HealthCerts by logging in to the Notαrise portal using their Singpass app or Singpass credentials. Upon successful application, the digital vaccination certificate will be sent to the user’s email and Singpass app in approximately 15 minutes. Those eligible for a Singpass account can register for a Singpass account here. Users will be able to access the relevant vaccination records the day after creation of your Singpass account. For Long-term Pass holders Long-term Pass holders will need a valid pass to obtain their Vaccination HealthCert using their Singpass app or Singpass credentials. Long-term pass holders are recommended to obtain their Vaccination HealthCert early, as they will lose access to Singpass upon expiry or cancellation of their pass. If your pass was canceled after 22 Feb 2022, you are given a grace period of 3 months after pass cancellation to obtain your Vaccination HealthCert using your Singpass app or Singpass credentials. For people who are not eligible for Singpass People who are not eligible for a Singpass account, or whose pass has expired and no longer have access to Singpass, may obtain their Vaccination HealthCert from Notαrise using their passport number and dates of vaccination recorded in the NIR.&nbsp; If your vaccination records were tagged to your FIN number which you no longer have, you may need to submit a request to associate your records to you passport number at https://go.gov.sg/health-cert-query . Processing time for the query is about 2–4 weeks.",what can be used to get a vaccination healthcert in singapore?,digital vaccination certificate,1,211
"Individuals who are fully-vaccinated in Singapore may obtain a digital vaccination certificate (‘Vaccination HealthCert’). The requirements to be considered fully-vaccinated can be found at this link . Digital vaccination certificates are not issued for vaccinations done overseas. For Singpass users Singpass users can obtain their Vaccination HealthCerts by logging in to the Notαrise portal using their Singpass app or Singpass credentials. Upon successful application, the digital vaccination certificate will be sent to the user’s email and Singpass app in approximately 15 minutes. Those eligible for a Singpass account can register for a Singpass account here. Users will be able to access the relevant vaccination records the day after creation of your Singpass account. For Long-term Pass holders Long-term Pass holders will need a valid pass to obtain their Vaccination HealthCert using their Singpass app or Singpass credentials. Long-term pass holders are recommended to obtain their Vaccination HealthCert early, as they will lose access to Singpass upon expiry or cancellation of their pass. If your pass was canceled after 22 Feb 2022, you are given a grace period of 3 months after pass cancellation to obtain your Vaccination HealthCert using your Singpass app or Singpass credentials. For people who are not eligible for Singpass People who are not eligible for a Singpass account, or whose pass has expired and no longer have access to Singpass, may obtain their Vaccination HealthCert from Notαrise using their passport number and dates of vaccination recorded in the NIR.&nbsp; If your vaccination records were tagged to your FIN number which you no longer have, you may need to submit a request to associate your records to you passport number at https://go.gov.sg/health-cert-query . Processing time for the query is about 2–4 weeks.",what can individuals who are fullyvaccinated in singapore obtain?,"a digital vaccination certificate (""vaccination healthcert)",1,212
"Individuals who are fully-vaccinated in Singapore may obtain a digital vaccination certificate (‘Vaccination HealthCert’). The requirements to be considered fully-vaccinated can be found at this link . Digital vaccination certificates are not issued for vaccinations done overseas. For Singpass users Singpass users can obtain their Vaccination HealthCerts by logging in to the Notαrise portal using their Singpass app or Singpass credentials. Upon successful application, the digital vaccination certificate will be sent to the user’s email and Singpass app in approximately 15 minutes. Those eligible for a Singpass account can register for a Singpass account here. Users will be able to access the relevant vaccination records the day after creation of your Singpass account. For Long-term Pass holders Long-term Pass holders will need a valid pass to obtain their Vaccination HealthCert using their Singpass app or Singpass credentials. Long-term pass holders are recommended to obtain their Vaccination HealthCert early, as they will lose access to Singpass upon expiry or cancellation of their pass. If your pass was canceled after 22 Feb 2022, you are given a grace period of 3 months after pass cancellation to obtain your Vaccination HealthCert using your Singpass app or Singpass credentials. For people who are not eligible for Singpass People who are not eligible for a Singpass account, or whose pass has expired and no longer have access to Singpass, may obtain their Vaccination HealthCert from Notαrise using their passport number and dates of vaccination recorded in the NIR.&nbsp; If your vaccination records were tagged to your FIN number which you no longer have, you may need to submit a request to associate your records to you passport number at https://go.gov.sg/health-cert-query . Processing time for the query is about 2–4 weeks.",what must occur to those who are fully vaccinated in singapore obtain?,digital vaccination certificate,1,213
"Individuals who are fully-vaccinated in Singapore may obtain a digital vaccination certificate (‘Vaccination HealthCert’). The requirements to be considered fully-vaccinated can be found at this link . Digital vaccination certificates are not issued for vaccinations done overseas. For Singpass users Singpass users can obtain their Vaccination HealthCerts by logging in to the Notαrise portal using their Singpass app or Singpass credentials. Upon successful application, the digital vaccination certificate will be sent to the user’s email and Singpass app in approximately 15 minutes. Those eligible for a Singpass account can register for a Singpass account here. Users will be able to access the relevant vaccination records the day after creation of your Singpass account. For Long-term Pass holders Long-term Pass holders will need a valid pass to obtain their Vaccination HealthCert using their Singpass app or Singpass credentials. Long-term pass holders are recommended to obtain their Vaccination HealthCert early, as they will lose access to Singpass upon expiry or cancellation of their pass. If your pass was canceled after 22 Feb 2022, you are given a grace period of 3 months after pass cancellation to obtain your Vaccination HealthCert using your Singpass app or Singpass credentials. For people who are not eligible for Singpass People who are not eligible for a Singpass account, or whose pass has expired and no longer have access to Singpass, may obtain their Vaccination HealthCert from Notαrise using their passport number and dates of vaccination recorded in the NIR.&nbsp; If your vaccination records were tagged to your FIN number which you no longer have, you may need to submit a request to associate your records to you passport number at https://go.gov.sg/health-cert-query . Processing time for the query is about 2–4 weeks.",how long can it take for an online travel account to obtain your vaccination healthcert?,around 15 minutes,1,214
"Individuals who are fully-vaccinated in Singapore may obtain a digital vaccination certificate (‘Vaccination HealthCert’). The requirements to be considered fully-vaccinated can be found at this link . Digital vaccination certificates are not issued for vaccinations done overseas. For Singpass users Singpass users can obtain their Vaccination HealthCerts by logging in to the Notαrise portal using their Singpass app or Singpass credentials. Upon successful application, the digital vaccination certificate will be sent to the user’s email and Singpass app in approximately 15 minutes. Those eligible for a Singpass account can register for a Singpass account here. Users will be able to access the relevant vaccination records the day after creation of your Singpass account. For Long-term Pass holders Long-term Pass holders will need a valid pass to obtain their Vaccination HealthCert using their Singpass app or Singpass credentials. Long-term pass holders are recommended to obtain their Vaccination HealthCert early, as they will lose access to Singpass upon expiry or cancellation of their pass. If your pass was canceled after 22 Feb 2022, you are given a grace period of 3 months after pass cancellation to obtain your Vaccination HealthCert using your Singpass app or Singpass credentials. For people who are not eligible for Singpass People who are not eligible for a Singpass account, or whose pass has expired and no longer have access to Singpass, may obtain their Vaccination HealthCert from Notαrise using their passport number and dates of vaccination recorded in the NIR.&nbsp; If your vaccination records were tagged to your FIN number which you no longer have, you may need to submit a request to associate your records to you passport number at https://go.gov.sg/health-cert-query . Processing time for the query is about 2–4 weeks.",when are digital vaccination certificates not issued for vaccinations done overseas?,overall,1,215
"Individuals who are fully-vaccinated in Singapore may obtain a digital vaccination certificate (‘Vaccination HealthCert’). The requirements to be considered fully-vaccinated can be found at this link . Digital vaccination certificates are not issued for vaccinations done overseas. For Singpass users Singpass users can obtain their Vaccination HealthCerts by logging in to the Notαrise portal using their Singpass app or Singpass credentials. Upon successful application, the digital vaccination certificate will be sent to the user’s email and Singpass app in approximately 15 minutes. Those eligible for a Singpass account can register for a Singpass account here. Users will be able to access the relevant vaccination records the day after creation of your Singpass account. For Long-term Pass holders Long-term Pass holders will need a valid pass to obtain their Vaccination HealthCert using their Singpass app or Singpass credentials. Long-term pass holders are recommended to obtain their Vaccination HealthCert early, as they will lose access to Singpass upon expiry or cancellation of their pass. If your pass was canceled after 22 Feb 2022, you are given a grace period of 3 months after pass cancellation to obtain your Vaccination HealthCert using your Singpass app or Singpass credentials. For people who are not eligible for Singpass People who are not eligible for a Singpass account, or whose pass has expired and no longer have access to Singpass, may obtain their Vaccination HealthCert from Notαrise using their passport number and dates of vaccination recorded in the NIR.&nbsp; If your vaccination records were tagged to your FIN number which you no longer have, you may need to submit a request to associate your records to you passport number at https://go.gov.sg/health-cert-query . Processing time for the query is about 2–4 weeks.",how long will the digital vaccination certificate be sent to the user's email and singpass app in minutes?,approximately 15 minutes,1,216
